 App TDT AFT TDI SI
0 bbc.mobile.news.uk 1.088 0.78 677.1992425258469 22.1199999999997
1 bbc.mobile.news.uk 0.841 0.5630000000000001 562.6035711886493 30.18000000000053
2 bbc.mobile.news.uk 0.947 13.323 608.742091747825 1084.0200000001744
3 bbc.mobile.news.uk 0.8059999999999999 0.139 562.3861450731941 17.260000000000016
4 bbc.mobile.news.uk 0.6950000000000001 0.129 478.26499004364166 19.680000000000465
5 bbc.mobile.news.uk 0.966 0.131 635.4985652211118 20.15000000000052
6 bbc.mobile.news.uk 0.748 0.14200000000000002 548.2569503174359 24.20000000000125
7 bbc.mobile.news.uk 0.6509999999999999 0.163 459.21040540319353 24.320000000001176
8 bbc.mobile.news.uk 0.252 0.139 140.3022429103527 18.81000000000027
9 bbc.mobile.news.uk 0.267 0.317 139.618077882 14.9
10 com.abtnprojects.ambatana 2.17 14.860999999999999 1248.350656417583 5369.110000000312
11 com.abtnprojects.ambatana 8.389 11.487 5014.914247787486 4404.1300000005185
12 com.abtnprojects.ambatana 3.054 6.046 1604.311657970319 2873.0799999996466
13 com.abtnprojects.ambatana 10.943 13.392000000000001 7484.191216311882 5188.53999999896
14 com.abtnprojects.ambatana 0.688 11.655999999999999 366.71699715872484 4834.679999999718
15 com.abtnprojects.ambatana 11.389000000000001 13.273 6516.092219502291 5176.490000001938
16 com.abtnprojects.ambatana 8.913 11.296 5719.639558176061 4180.560000000755
17 com.abtnprojects.ambatana 11.142000000000001 13.314 6561.930296482154 4620.279999999265
18 com.abtnprojects.ambatana 8.13 10.52 4499.75394974151 3961.3999999995567
19 com.abtnprojects.ambatana 1.52 2.105 712.7303372839905 1419.9600000000503
20 com.amazon.mShop.android.shopping 7.662999999999999 4.629 3895.7167356827704 3564.660000001323
21 com.amazon.mShop.android.shopping 5.8100000000000005 2.327 2425.1594952992427 1254.939999999888
22 com.amazon.mShop.android.shopping 6.353 2.397 2799.836880076965 1383.0900000000338
23 com.amazon.mShop.android.shopping 6.347 3.3120000000000003 2820.570764430709 1312.0099999998579
24 com.amazon.mShop.android.shopping 5.497999999999999 6.772 2334.664804360384 1807.4000000005972
25 com.amazon.mShop.android.shopping 5.906000000000001 6.976 2513.4233219555977 1422.5299999997726
26 com.amazon.mShop.android.shopping 6.3340000000000005 3.141 2807.336133817865 1300.4699999998422
27 com.amazon.mShop.android.shopping 7.105 2.8289999999999997 2992.8496734596283 1284.2099999998793
28 com.amazon.mShop.android.shopping 6.421 2.1919999999999997 2828.2396403391185 1307.3499999998674
29 com.amazon.mShop.android.shopping 6.205 2.215 2730.827583540852 1383.8000000000295
30 com.cnn.mobile.android.phone 2.727 3.0700000000000003 1774.7094399771804 1987.6799999999203
31 com.cnn.mobile.android.phone 2.596 2.908 2013.897949347584 1812.6799999999203
32 com.cnn.mobile.android.phone 2.309 2.9389999999999996 1571.349172472277 1745.6799999999164
33 com.cnn.mobile.android.phone 11.436 4.3069999999999995 5737.77601739984 2904.6300000019933
34 com.cnn.mobile.android.phone 7.836 4.855 4393.937939126573 2009.0499999999122
35 com.cnn.mobile.android.phone 2.8569999999999998 3.505 1928.0680863391824 2081.2000000006656
36 com.cnn.mobile.android.phone 2.459 3.528 1784.2853433388543 2260.4800000010932
37 com.cnn.mobile.android.phone 3.108 3.222 2811.891067793417 3238.190000001415
38 com.cnn.mobile.android.phone 2.408 2.7319999999999998 2027.91 1587.5693931
39 com.cnn.mobile.android.phone 2.633 3.3739999999999997 2016.74 1607.45700006
40 com.facebook.katana 1.964 2.53 1502.4378656612528 2124.9300000000235
41 com.facebook.katana 2.083 2.355 1543.7153833366197 1951.5
42 com.facebook.katana 1.8230000000000002 1.584 415.6744730066543 1448.8500000000147
43 com.facebook.katana 1.709 2.209 1060.006508677169 2027.5600000000175
44 com.facebook.katana 2.9419999999999997 2.028 1192.2980981206285 1556.1499999999844
45 com.facebook.katana 1.753 2.471 1275.088399560277 2250.199999999915
46 com.facebook.katana 1.306 2.2969999999999997 1101.988749564234 1749.179999999951
47 com.facebook.katana nan nan nan nan
48 com.facebook.katana 2.302 2.189 1303.7648259305565 1836.2499999999752
49 com.facebook.katana 0.499 3.182 288.24470955659837 2834.7499999999877
50 com.facebook.orca 2.5500000000000003 1.93 1496.439459417224 1203.0399999998515
51 com.facebook.orca 2.585 2.029 1562.6029950798688 1220.3999999998355
52 com.facebook.orca 2.68 2.068 1627.3453482215605 1227.2399999998336
53 com.facebook.orca 2.4210000000000003 2.082 1443.5219453171649 1244.2999999998367
54 com.facebook.orca 2.5420000000000003 1.8630000000000002 1565.4467882472811 1262.9999999998727
55 com.facebook.orca 0.08800000000000001 1.894 46.39130434782604 1098.6999999998618
56 com.facebook.orca 1.6740000000000002 1.9580000000000002 879.2775255391738 1150.8899999998605
57 com.facebook.orca 2.506 2.056 1445.5534674562089 1224.439999999847
58 com.facebook.orca 2.715 1.851 1481.8998016427115 1183.8099999998453
59 com.facebook.orca nan nan nan nan
60 com.google.android.apps.maps 3.432 4.098 2419.4848108638066 1966.7199999998252
61 com.google.android.apps.maps 3.045 3.4019999999999997 2475.903530361533 1449.1499999998696
62 com.google.android.apps.maps 2.745 3.386 2301.615690561601 1480.1699999998498
63 com.google.android.apps.maps 2.576 3.4450000000000003 2135.320794551058 1695.4799999998568
64 com.google.android.apps.maps 2.549 3.003 2124.9413146344814 1315.8899999998775
65 com.google.android.apps.maps 2.4210000000000003 3.4760000000000004 1966.367156767584 1471.2699999999054
66 com.google.android.apps.maps 2.244 3.234 1824.7006981312452 1476.569999999812
67 com.google.android.apps.maps 2.147 3.4530000000000003 1743.6467700260641 1574.4699999998838
68 com.google.android.apps.maps 2.448 3.194 2028.9394274260849 1591.5499999998804
69 com.google.android.apps.maps 4.338 5.004 2754.4874784241274 2408.0200000003306
70 com.google.android.gm 1.212 8.517999999999999 388.59156620777566 1906.8600000004208
71 com.google.android.gm 1.229 1.214 361.0818785310672 992.9199999999913
72 com.google.android.gm 0.8210000000000001 1.531 316.8841854440914 1224.3799999999744
73 com.google.android.gm 0.893 1.456 322.4199505459853 1135.3499999999613
74 com.google.android.gm 0.778 1.402 302.0693329598979 1108.1699999999664
75 com.google.android.gm 0.705 1.456 330.61509682933524 1130.4799999999636
76 com.google.android.gm 0.797 1.425 337.46418033463686 1126.9799999999673
77 com.google.android.gm 0.8300000000000001 1.443 360.3095329980397 1135.8499999999754
78 com.google.android.gm 0.848 1.4809999999999999 433.61924840424797 1169.6799999999691
79 com.google.android.gm 0.784 1.4709999999999999 265.191520106716 1133.799999999969
