Application Expid TCP TLS DNS Data
com.abtnprojects.ambatana 1 0.0 0.0 0.0 1.0
com.abtnprojects.ambatana 2 0.0 0.0 0.0 1.0
com.abtnprojects.ambatana 3 0.0873308733087 0.241082410824 0.0 0.671586715867
com.abtnprojects.ambatana 4 0.0 0.0 0.0 1.0
com.abtnprojects.ambatana 5 0.0 0.0 0.0 1.0
com.abtnprojects.ambatana 6 0.0 0.0 0.0 1.0
com.abtnprojects.ambatana 7 0.0530973451327 0.175221238938 0.0 0.771681415929
com.abtnprojects.ambatana 8 0.0 0.0 0.0 1.0
com.abtnprojects.ambatana 9 0.0 0.0 0.0 1.0
com.abtnprojects.ambatana 10 0.0 0.0 0.0 1.0
com.amazon.mShop.android.shopping 1 0.0259350674008 0.0285931270173 0.0 0.945471805582
com.amazon.mShop.android.shopping 2 0.0175145758887 0.0188781267632 0.0 0.963607297348
com.amazon.mShop.android.shopping 3 0.0214990798059 0.0258212035023 0.0 0.952679716692
com.amazon.mShop.android.shopping 4 0.0302625553351 0.032590444207 0.0 0.937147000458
com.amazon.mShop.android.shopping 5 0.0246401159535 0.0271765984781 0.0 0.948183285568
com.amazon.mShop.android.shopping 6 0.0175837704743 0.0384862434429 0.0 0.943929986083
com.amazon.mShop.android.shopping 7 0.0302373429348 0.043721066941 0.0 0.926041590124
com.amazon.mShop.android.shopping 8 0.0288855758479 0.0295937383526 0.0 0.941520685799
com.amazon.mShop.android.shopping 9 0.0360810652505 0.0421336248975 0.0 0.921785309852
com.amazon.mShop.android.shopping 10 0.0295769839546 0.0369324353682 0.0 0.933490580677
com.cnn.mobile.android.phone 1 0.0676779463244 0.0 0.0 0.932322053676
com.cnn.mobile.android.phone 2 0.0215456674473 0.0 0.0 0.978454332553
com.cnn.mobile.android.phone 3 0.0275650842266 0.0 0.0 0.972434915773
com.cnn.mobile.android.phone 4 0.0362473347548 0.0 0.0 0.963752665245
com.cnn.mobile.android.phone 5 0.0332728372656 0.0 0.0 0.966727162734
com.cnn.mobile.android.phone 6 0.0302166476625 0.0 0.0 0.969783352338
com.cnn.mobile.android.phone 7 0.0307228915663 0.0 0.0 0.969277108434
com.cnn.mobile.android.phone 8 0.0288517022504 0.0 0.0 0.97114829775
com.cnn.mobile.android.phone 9 0.037517053206 0.0 0.0 0.962482946794
com.cnn.mobile.android.phone 10 0.0207407407407 0.0 0.0 0.979259259259
com.google.android.apps.maps 1 0.0 0.0 0.0 1.0
com.google.android.apps.maps 2 0.0 0.0 0.0 1.0
com.google.android.apps.maps 3 0.0 0.0 0.0 1.0
com.google.android.apps.maps 4 0.0 0.0 0.0 1.0
com.google.android.apps.maps 5 0.0 0.0 0.0 1.0
com.google.android.apps.maps 6 0.0 0.0 0.0 1.0
com.google.android.apps.maps 7 0.0 0.0 0.0 1.0
com.google.android.apps.maps 8 0.0 0.0 0.0 1.0
com.google.android.apps.maps 9 0.0 0.0 0.0 1.0
com.google.android.apps.maps 10 0.0 0.0 0.0 1.0
com.google.android.youtube 1 0.259400544959 0.405449591281 0.0 0.33514986376
com.google.android.youtube 2 0.231799650553 0.427489807804 0.0 0.340710541642
com.google.android.youtube 3 0.233211233211 0.397435897436 0.0 0.369352869353
com.google.android.youtube 4 0.226154769046 0.413917216557 0.0 0.359928014397
com.google.android.youtube 5 0.210264900662 0.461920529801 0.0 0.327814569536
com.google.android.youtube 6 0.225134008338 0.421083978559 0.0 0.353782013103
com.google.android.youtube 7 0.235661555934 0.436115843271 0.0 0.328222600795
com.google.android.youtube 8 0.244362873623 0.407970634504 0.0 0.347666491872
com.google.android.youtube 9 nan nan nan nan
com.google.android.youtube 10 0.21675155631 0.4493491794 0.0 0.33389926429
com.microsoft.office.outlook 1 0.198488664987 0.523425692695 0.0 0.278085642317
com.microsoft.office.outlook 2 0.191206543967 0.592024539877 0.0 0.216768916155
com.microsoft.office.outlook 3 0.210285714286 0.508571428571 0.0 0.281142857143
com.microsoft.office.outlook 4 0.217091295117 0.526008492569 0.0 0.256900212314
com.microsoft.office.outlook 5 0.218798955614 0.524281984334 0.0 0.256919060052
com.microsoft.office.outlook 6 0.204358353511 0.553995157385 0.0 0.241646489104
com.microsoft.office.outlook 7 0.203596660244 0.538856775851 0.0 0.257546563905
com.microsoft.office.outlook 8 0.214543579165 0.52810727179 0.0 0.257349149046
